,comment
0,Imagine they actually gave freight you needed instead of 3 pallets full of reeses that are already full from the pallets last month
1,I hate department 82 so much
2,The only acceptable department where plugging should be allowed. As long as correct sku
3,"Some of those ice cubes are oriented the same way in a forward backward pattern, except the 3 and it bugs me a lot."
4,This gives me fucking serotonin.
5,I'm totes addicted to the Ice Cube gums and want all of them I see here. Beautiful!!
6,Can you teach our people to do that??? I've gone through both scos and all registers getting them set according to the tags...two days later things are plugged. And I'm talking 3 pink starburst boxes in three different spots (right in a row) three different prices...not one is correct! That's just one instance...very irritating!!
7,"Must be a store that is not busy ,our store is the total opposite"
8,Make sure them rotated...lol claims had a whole buggy full of EXPIRED candy....guess people must not he impulse buying it anymore.....?
9,Every time (day) when i stock the juice in fresh i always zone up and rotate but i never plug. This looks very nice and clean and full. I take pride and a sense of accomplishment where i can find it at walmart.
10,"*gentlemanly claps* Yes, excellent!"
11,How long before customers fucked it up completely?
12,This is hot
13,"And the rest of the aisles look like trash, right?"
14,Very nice very nice.
15,Our Market Manager is coming so a good chunk of my shift yesterday was zoning and setting the candy/chips/ toys in the right spots while the TLs put price tags on missing items... I hate Dept 82 soo much as well
16,My manager actually thanked the team today which never happens and honestly it made my week
17,Pay raise finally came through and the new wage is actually decent for once
18,Got coached for calling out sick even though I had PTO available. This place is ridiculous
19,The union talk in our store is getting serious because everyone is done with corporate
20,OGP is so understaffed it's not even funny. orders piling up all shift
21,Covid policies keep changing every week and nobody tells the overnight crew anything
22,Our coach screamed at a new hire in front of customers today. absolutely unacceptable
23,Honestly my warehouse team is great and the work is steady. no complaints this month
24,They promoted the worst person in the store to ASM. morale is gone
25,PPTO saved me this week. best policy walmart ever added honestly
26,Wages here are still below what Amazon pays and corporate wonders why people leave
27,Customer screamed at me over a coupon and my manager actually backed me up for once
28,Zoning the toy section after holiday weekend is genuinely the worst task in retail
29,The pandemic masks policy is back and the vest is already hot enough as it is
30,Pay is okay but the scheduling is killing me. closing then opening should be illegal
31,Our new manager actually listens and fixed the break schedule. huge improvement
32,Vendors keep blocking the aisles with pallets and we get blamed for the mess
33,Union vote next month. corporate suddenly cares about our opinions. interesting timing
34,Overnight differential pay finally went up. about time honestly
35,Got my promotion to team lead approved. hard work paying off finally
